frequency_cycles_per_sample,periodogram_db,levinson_ar_db,burg_ar_db
0.0,-59.74531944152689,-24.936163047813995,-25.45198196661989
0.000244140625,-51.993576141544935,-24.93628460103498,-25.45218956321335
0.00048828125,-46.642915060318316,-24.936649078734288,-25.452812063876372
0.000732421875,-43.383165776383585,-24.937255935319136,-25.453848601846055
0.0009765625,-41.12051600872033,-24.938104262461238,-25.45529773447871
0.001220703125,-39.43663240533603,-24.939192790582766,-25.457157446182684
0.00146484375,-38.128831932839226,-24.940519890929764,-25.45942515250667
0.001708984375,-37.081330607467436,-24.942083578225912,-25.462097705365807
0.001953125,-36.22068749877285,-24.94388151389792,-25.46517139938328
0.002197265625,-35.49792517154033,-24.945911009861742,-25.46864197932052
0.00244140625,-34.880826774229526,-24.948169032857017,-25.47250464856445
0.002685546875,-34.350557789257714,-24.950652209315606,-25.476754078636258
0.0029296875,-33.90012903014488,-24.95335683074822,-25.48138441968218
0.003173828125,-33.533520361132695,-24.956278859631723,-25.486389311902997
0.00341796875,-33.264960875073854,-24.95941393577818,-25.49176189787575
0.003662109375,-33.118335463748785,-24.962757383165407,-25.497494835718033
0.00390625,-33.12704451441534,-24.966304217207504,-25.503580313042654
0.004150390625,-33.33485867483648,-24.970049152442932,-25.510010061647957
0.00439453125,-33.798282022063255,-24.97398661061625,-25.516775372887256
0.004638671875,-34.590028797478816,-24.978110729129344,-25.52386711365916
0.0048828125,-35.797540211504064,-24.982415369836804,-25.531275742959426
0.005126953125,-37.47738675761901,-24.986894128159733,-25.538991328933747
0.00537109375,-39.359266759624695,-24.991540342491643,-25.547003566371046
0.005615234375,-39.96096981696162,-24.996347103869972,-25.555301794575872
0.005859375,-37.93936258666011,-25.00130726588617,-25.56387501555934
0.006103515625,-34.98261488905543,-25.00641345480769,-25.572711912488263
0.00634765625,-32.34469484005918,-25.01165807988486,-25.581800868332913
0.006591796875,-30.209480878569067,-25.01703334381591,-25.59112998465521
0.0068359375,-28.519157734013618,-25.022531253343768,-25.600687100480254
0.007080078125,-27.20125648046438,-25.028143629958507,-25.610459811196073
0.00732421875,-26.200570974557667,-25.03386212067983,-25.62043548742811
0.007568359375,-25.478192251259898,-25.039678208894678,-25.630601293837177
0.0078125,-25.00700898234509,-25.045583225225435,-25.640944207791957
0.008056640625,-24.768062068002614,-25.051568358405383,-25.651451037869528
0.00830078125,-24.74797975189219,-25.057624666138466,-25.662108442139882
0.008544921875,-24.937152106068005,-25.0637430859216,-25.67290294619349
0.0087890625,-25.328323989075066,-25.069914445808674,-25.683820960873152
0.009033203125,-25.915366797229524,-25.076129475096323,-25.694848799675004
0.00927734375,-26.69205498514971,-25.08237881491269,-25.705972695785743
0.009521484375,-27.650733130272474,-25.088653028691557,-25.717178818726666
0.009765625,-28.780842337628503,-25.0949426125152,-25.728453290577665
0.010009765625,-30.06740910647054,-25.101238005310705,-25.739782201757535
0.01025390625,-31.489773364461747,-25.107529598885368,-25.751151626339585
0.010498046875,-33.02091480100857,-25.11380774778842,-25.76254763688479
0.0107421875,-34.62744707535616,-25.120062778986988,-25.77395631877711
0.010986328125,-36.26958856623163,-25.126285001345895,-25.785363784048503
0.01123046875,-37.90019903824878,-25.13246471490179,-25.796756184683996
0.011474609375,-39.46441099205545,-25.1385922199233,-25.808119725399305
0.01171875,-40.90373148656085,-25.144657825750258,-25.819440675886305
0.011962890625,-42.15080921132013,-25.15065185940585,-25.830705382523732
0.01220703125,-43.041824265553885,-25.15656467397712,-25.84190027955288
0.012451171875,-43.096525574424334,-25.162386656759757,-25.853011899719988
0.0126953125,-41.69657504228277,-25.168108237164702,-25.864026884389038
0.012939453125,-39.07710208479392,-25.173719894384732,-25.874931993130602
0.01318359375,-36.08541944874423,-25.17921216482041,-25.88571411279385
