frequency_cycles_per_sample,periodogram_db,levinson_ar_db,burg_ar_db,capon_db
0.0,-30.666511435962057,-26.748955126565775,-27.895567026339997,-17.204930940331508
0.000244140625,-30.36310650372777,-26.7506277027058,-27.898213374331373,-17.205160926114583
0.00048828125,-29.58358228969167,-26.75563939725337,-27.906139341430922,-17.205850442425973
0.000732421875,-28.587981621123628,-26.763972165976284,-27.919305880668777,-17.206998167252905
0.0009765625,-27.583940607189618,-26.775596125288498,-27.937648520530495,-17.208601900904068
0.001220703125,-26.68408820726704,-26.790469833465885,-27.961078256444132,-17.21065857148455
0.00146484375,-25.936430477789237,-26.808540676516323,-27.989482762487533,-17.213164242520904
0.001708984375,-25.355174826770156,-26.829745351190777,-28.022727889100988,-17.21611412269692
0.001953125,-24.937543898144845,-26.854010435911405,-28.060659405719647,-17.21950257765004
0.002197265625,-24.671029512384585,-26.881253038979352,-28.103104942249463,-17.223323143768162
0.00244140625,-24.535931406098292,-26.911381512342256,-28.14987608032866,-17.227568543916934
0.002685546875,-24.505987950401217,-26.944296218469425,-28.200770544340354,-17.23223070501865
0.0029296875,-24.54870241939654,-26.979890337504795,-28.255574443054755,-17.237300777395358
0.003173828125,-24.626484355906033,-27.018050701833545,-28.314064515365057,-17.24276915578151
0.00341796875,-24.69944253440682,-27.0586586454843,-28.376010337554128,-17.248625501904385
0.003662109375,-24.73013251377241,-27.101590856360804,-28.44117645455892,-17.25485876852479
0.00390625,-24.68958629605777,-27.146720220113032,-28.50932440344124,-17.261457224825502
0.004150390625,-24.562872007165872,-27.193916645470605,-28.580214603390687,-17.26840848303067
0.00439453125,-24.35204969608413,-27.243047862020774,-28.653608092769854,-17.275699526136297
0.004638671875,-24.075248116394018,-27.29398018267083,-28.72926809970258,-17.283316736629594
0.0048828125,-23.762246439185404,-27.346579224340953,-28.80696143828829,-17.291245926073547
0.005126953125,-23.448272270544788,-27.400710581747646,-28.886459727547738,-17.299472365432596
0.00537109375,-23.167949802510304,-27.45624045041971,-28.967540434563553,-17.307980816015746
0.005615234375,-22.950603453691034,-27.513036196307823,-29.049987746922778,-17.316755560914444
